cafe_id	occasion_tags	hangout_score	date_score	work_score	meeting_score	quick_service_score	privacy_score	aesthetic_score	ai_summary
1	hangout,meeting	7	4	5	6	5	4	4	MG Road; italian, indian; 9AM-11PM.
2	meeting	5	4	5	6	5	4	4	Church Street; indian, chinese; 10AM-10PM.
3	hangout,work,meeting	7	5	6	7	5	4	5	Brigade Road; chinese, thai; 11AM-11PM.
4	hangout,date,work,meeting	7	8	6	7	4	7	8	Indiranagar; vegan, salads, italian; 8AM-9PM.
5	quick_coffee	5	2	4	4	7	4	3	Ulsoor; indian, fastfood; 7AM-11PM.
node/283166318	hangout	5	3	3	4	5	3	4	coffee_shop. Limited source detail suggests a generic everyday cafe.
node/313785040	hangout	5	3	4	4	5	3	4	Pune Koregaon Park; coffee_shop. Limited source detail suggests a generic everyday cafe.
way/359519567	meeting	5	5	5	7	5	4	5	Pimpri-Chinchwad Pimpri Chinchwad Link Road; coffee_shop, dessert; Mo-Su 10:30-22:30.
way/359567490	hangout	5	3	4	4	5	3	4	coffee_shop. Sparse placeholder entry; best treated as a basic cafe.
way/359567619	hangout	5	3	4	4	5	3	4	coffee_shop. Sparse placeholder entry; best treated as a basic cafe.
way/359570381	quick_coffee	5	3	3	4	8	3	3	fast_food.
way/359684117	quick_coffee	5	3	4	4	7	3	5	dessert, sandwich, regional; Mo-Su 08:00-21:00.
way/359719212	work	5	3	6	4	4	3	4	Pune Balewadi Road; coffee_shop; Mo-Sa 09:00-21:00. Limited source detail suggests a generic everyday cafe.
way/359727408	hangout,quick_coffee	7	3	4	4	6	3	4	Pune Chondhe Patil Road  Near Rohan Nilay Society  Aundh Pune; italian, pizza, pasta, burger, sandwich, coffee_shop, chicken; Mo-Su 08:00-23:00.
way/359769658	hangout,meeting,quick_coffee	7	5	3	7	6	3	6	Bavdhan Budruk Uttamnagar road bavdhan; dessert, frozen_yogurt; Mo-Su 08:00-22:00.
way/359911411	hangout,quick_coffee	7	3	3	4	6	3	5	Bavdhan  Pune Pashan-Bavdhan Road Pune; burger, pizza, coffee_shop, chicken, sandwich, italian, tea, fries, noodle, salad, pasta, brunch, bistro; Mo-Su 10:00-22:00.
way/359921774	hangout,quick_coffee	6	3	4	4	6	3	5	pune Chhatrapati Sambhaji Path Pune; burger, pizza, coffee_shop, sandwich, ice_cream, pasta, tea, juice; Mo-Sa 08:00-20:00.
way/359924586	hangout	5	3	4	4	5	3	4	coffee_shop. Limited source detail suggests a generic everyday cafe.
way/360234234	quick_coffee	5	3	4	4	6	3	4	Pune Bharatiya Vidyabhavan Marg; coffee_shop; Mo-Fr 08:00-17:00. Limited source detail suggests a generic everyday cafe.
way/360291912	quick_coffee	5	3	3	4	6	3	4	pune Sahakarnagar; coffee_shop; Mo-Fr 09:00-17:00. Limited source detail suggests a generic everyday cafe.
way/360321487	hangout	5	3	4	4	5	3	4	Pune Kondhwa Road; coffee_shop. Limited source detail suggests a generic everyday cafe.
way/360512759	quick_coffee	5	3	4	4	6	3	4	Dhayari Sinhagad Road Pune; coffee_shop, sandwich; Mo-Su 08:00-22:00.
way/365464561	meeting,quick_coffee	5	4	5	6	6	4	4	pune DP Road pune; mexican, vietnamese; Mo-Su 08:00-22:00.
way/479980729	hangout	5	3	4	4	5	3	4	coffee_shop. Limited source detail suggests a generic everyday cafe.
node/663592103	hangout	5	3	4	4	5	3	4	coffee_shop. Limited source detail suggests a generic everyday cafe.
node/667287796	hangout	5	3	4	4	5	3	4	coffee_shop. Limited source detail suggests a generic everyday cafe.
node/671455417	hangout	5	3	4	4	5	3	4	coffee_shop. Limited source detail suggests a generic everyday cafe.
